week,awayTeam,homeTeam,awayScore,homeScore,OT
1,BAL,KC,20,27,FALSE
1,GB,PHI,29,34,FALSE
1,CAR,NO,10,47,FALSE
1,TEN,CHI,17,24,FALSE
1,HOU,IND,29,27,FALSE
1,ARZ,BUF,28,34,FALSE
1,NE,CIN,16,10,FALSE
1,JAX,MIA,17,20,FALSE
1,MIN,NYG,28,6,FALSE
1,PIT,ATL,18,10,FALSE
1,DEN,SEA,20,26,FALSE
1,LV,LAC,10,22,FALSE
1,DAL,CLE,33,17,FALSE
1,WAS,TB,20,37,FALSE
1,LAR,DET,20,26,TRUE
1,NYJ,SF,19,32,FALSE
2,BAL,LV,23,26,FALSE
2,IND,GB,16,10,FALSE
2,NE,SEA,20,23,FALSE
2,TB,DET,20,16,FALSE
2,CHI,HOU,13,19,FALSE
2,NO,DAL,44,19,FALSE
2,NYG,WAS,18,21,FALSE
2,CLE,JAX,18,13,FALSE
2,BUF,MIA,31,10,FALSE
2,ATL,PHI,22,21,FALSE
2,CIN,KC,25,26,FALSE
2,PIT,DEN,13,6,FALSE
2,NYJ,TEN,24,17,FALSE
2,SF,MIN,17,23,FALSE
2,LAC,CAR,26,3,FALSE
2,LAR,ARZ,10,41,FALSE
3,NE,NYJ,3,24,FALSE
3,CHI,IND,16,21,FALSE
3,NYG,CLE,21,15,FALSE
3,GB,TEN,30,14,FALSE
3,PHI,NO,15,12,FALSE
3,LAC,PIT,10,20,FALSE
3,HOU,MIN,7,34,FALSE
3,DEN,TB,26,7,FALSE
3,CAR,LV,36,22,FALSE
3,MIA,SEA,3,24,FALSE
3,DET,ARZ,20,13,FALSE
3,SF,LAR,24,27,FALSE
3,BAL,DAL,28,25,FALSE
3,KC,ATL,22,17,FALSE
3,JAX,BUF,10,47,FALSE
3,WAS,CIN,38,33,FALSE
4,DAL,NYG,20,15,FALSE
4,PIT,IND,24,27,FALSE
4,MIN,GB,31,29,FALSE
4,JAX,HOU,20,24,FALSE
4,NO,ATL,24,26,FALSE
4,LAR,CHI,18,24,FALSE
4,PHI,TB,16,33,FALSE
4,CIN,CAR,34,24,FALSE
4,DEN,NYJ,10,9,FALSE
4,WAS,ARZ,42,14,FALSE
4,NE,SF,13,30,FALSE
4,CLE,LV,16,20,FALSE
4,KC,LAC,17,10,FALSE
4,BUF,BAL,10,35,FALSE
4,TEN,MIA,31,12,FALSE
4,SEA,DET,29,42,FALSE
5,TB,ATL,30,36,TRUE
5,NYJ,MIN,17,23,FALSE
5,CLE,WAS,13,34,FALSE
5,BAL,CIN,41,38,TRUE
5,BUF,HOU,20,23,FALSE
5,IND,JAX,34,37,FALSE
5,CAR,CHI,10,36,FALSE
5,MIA,NE,15,10,FALSE
5,ARZ,SF,24,23,FALSE
5,LV,DEN,18,34,FALSE
5,GB,LAR,24,19,FALSE
5,NYG,SEA,29,20,FALSE
5,DAL,PIT,20,17,FALSE
5,NO,KC,13,26,FALSE
6,SF,SEA,36,24,FALSE
6,JAX,CHI,16,35,FALSE
6,TB,NO,51,27,FALSE
6,ARZ,GB,13,34,FALSE
6,IND,TEN,20,17,FALSE
6,CLE,PHI,16,20,FALSE
6,HOU,NE,41,21,FALSE
6,WAS,BAL,23,30,FALSE
6,LAC,DEN,23,16,FALSE
6,PIT,LV,32,13,FALSE
6,ATL,CAR,38,20,FALSE
6,DET,DAL,47,9,FALSE
6,CIN,NYG,17,7,FALSE
6,BUF,NYJ,23,20,FALSE
7,DEN,NO,33,10,FALSE
7,NE,JAX,16,32,FALSE
7,PHI,NYG,28,3,FALSE
7,SEA,ATL,34,14,FALSE
7,HOU,GB,22,24,FALSE
7,CIN,CLE,21,14,FALSE
7,DET,MIN,31,29,FALSE
7,MIA,IND,10,16,FALSE
7,TEN,BUF,10,34,FALSE
7,LV,LAR,15,20,FALSE
7,CAR,WAS,7,40,FALSE
7,KC,SF,28,18,FALSE
7,NYJ,PIT,15,37,FALSE
7,BAL,TB,41,31,FALSE
7,LAC,ARZ,15,17,FALSE
8,MIN,LAR,20,30,FALSE
8,GB,JAX,30,27,FALSE
8,ARZ,MIA,28,27,FALSE
8,NYJ,NE,22,25,FALSE
8,BAL,CLE,24,29,FALSE
8,PHI,CIN,37,17,FALSE
8,IND,HOU,20,23,FALSE
8,TEN,DET,14,52,FALSE
8,TB,ATL,31,26,FALSE
8,NO,LAC,8,26,FALSE
8,BUF,SEA,31,10,FALSE
8,CHI,WAS,15,18,FALSE
8,KC,LV,27,20,FALSE
8,CAR,DEN,14,28,FALSE
8,DAL,SF,24,30,FALSE
8,NYG,PIT,18,26,FALSE
9,HOU,NYJ,13,21,FALSE
9,WAS,NYG,27,22,FALSE
9,LAC,CLE,27,10,FALSE
9,MIA,BUF,27,30,FALSE
9,DAL,ATL,21,27,FALSE
9,NO,CAR,22,23,FALSE
9,NE,TEN,17,20,TRUE
9,LV,CIN,24,41,FALSE
9,DEN,BAL,10,41,FALSE
9,JAX,PHI,23,28,FALSE
9,CHI,ARZ,9,29,FALSE
9,DET,GB,24,14,FALSE
9,LAR,SEA,26,20,FALSE
9,IND,MIN,13,21,FALSE
9,TB,KC,24,30,FALSE
10,CIN,BAL,34,35,FALSE
10,NYG,CAR,17,20,TRUE
10,SF,TB,23,20,FALSE
10,ATL,NO,17,20,FALSE
10,DEN,KC,14,16,FALSE
10,BUF,IND,30,20,FALSE
10,PIT,WAS,28,27,FALSE
10,MIN,JAX,12,7,FALSE
10,NE,CHI,19,3,FALSE
10,TEN,LAC,17,27,FALSE
10,PHI,DAL,34,6,FALSE
10,NYJ,ARZ,6,31,FALSE
10,DET,HOU,26,23,FALSE
10,MIA,LAR,23,15,FALSE
11,WAS,PHI,18,26,FALSE
11,LV,MIA,19,34,FALSE
